frame,timestamp_s,object_id,lane_id,centroid_x,centroid_y
21,0.70,0,0,486,643
27,0.90,7,0,554,220
32,1.07,2,0,753,273
32,1.07,6,0,747,240
35,1.17,4,0,328,492
53,1.77,23,0,834,148
71,2.37,26,0,695,360
83,2.77,21,0,678,331
93,3.10,37,0,637,396
106,3.53,32,0,637,465
113,3.77,48,0,729,306
140,4.67,53,0,268,377
184,6.13,33,0,661,245
189,6.30,59,0,741,241
197,6.57,64,0,592,377
203,6.77,63,0,791,106
206,6.87,65,0,666,193
206,6.87,69,0,764,235
209,6.97,70,0,692,320
212,7.07,72,0,788,217
224,7.47,78,0,422,528
242,8.07,74,0,831,142
277,9.23,84,0,528,626
278,9.27,85,0,809,200
284,9.47,86,0,409,607
326,10.87,94,0,759,204
353,11.77,99,0,642,438
365,12.17,92,0,656,271
380,12.67,105,0,587,477
406,13.53,108,0,688,349
434,14.47,112,0,694,381
469,15.63,120,0,557,584
498,16.60,96,0,632,257
544,18.13,113,0,814,195
577,19.23,141,0,586,638
586,19.53,132,0,786,220
686,22.87,150,0,754,246
699,23.30,156,0,503,256
712,23.73,159,0,764,253
725,24.17,167,0,318,569
737,24.57,169,0,775,181
743,24.77,161,0,672,316
761,25.37,149,0,757,206
777,25.90,152,0,578,181
807,26.90,179,0,478,414
1095,36.50,194,0,469,534
1097,36.57,195,0,551,512
1100,36.67,199,0,523,620
1100,36.67,200,0,456,568
1100,36.67,209,0,827,146
1121,37.37,208,0,756,265
1127,37.57,216,0,610,445
1171,39.03,218,0,713,169
1185,39.50,229,0,114,541
1202,40.07,232,0,516,530
1202,40.07,235,0,848,123
1226,40.87,242,0,785,210
1256,41.87,237,0,655,194
1276,42.53,256,0,702,325
1280,42.67,248,0,761,183
1295,43.17,258,0,789,149
1307,43.57,264,0,537,542
1325,44.17,265,0,812,173
1340,44.67,270,0,776,202
1380,46.00,268,0,498,298
1382,46.07,266,0,665,183
1475,49.17,275,0,606,468
1475,49.17,283,0,724,276
1496,49.87,281,0,794,180
1505,50.17,290,0,603,427
1508,50.27,291,0,641,361
1526,50.87,293,0,748,207
1535,51.17,292,0,806,103
1539,51.30,295,0,823,92
1541,51.37,277,0,687,315
1569,52.30,301,0,818,192
1655,55.17,310,0,760,246
1751,58.37,321,0,180,444
1784,59.47,324,0,135,547
1832,61.07,328,0,114,485
1838,61.27,329,0,646,132
1854,61.80,333,0,586,576
1859,61.97,325,0,766,247
1868,62.27,334,0,564,622
1901,63.37,337,0,744,204
1913,63.77,336,0,624,153
1955,65.17,341,0,627,300
1966,65.53,332,0,731,183
1970,65.67,343,0,574,340
1973,65.77,344,0,566,380
2003,66.77,347,0,375,565
2021,67.37,351,0,597,568
2036,67.87,353,0,238,401
2051,68.37,354,0,492,615
2083,69.43,357,0,844,131
2099,69.97,360,0,422,303
2123,70.77,366,0,709,115
2162,72.07,371,0,794,175
2177,72.57,369,0,769,174
2186,72.87,372,0,248,398
2204,73.47,358,0,635,142
2216,73.87,374,0,157,457
2240,74.67,375,0,114,532
2315,77.17,380,0,843,139
2381,79.37,382,0,214,416
2417,80.57,384,0,777,193
2437,81.23,385,0,846,104
2498,83.27,387,0,799,127
2544,84.80,388,0,638,137
2558,85.27,390,0,841,136
2573,85.77,383,0,789,226
2612,87.07,391,0,783,187
2657,88.57,392,0,764,159
2675,89.17,394,0,700,295
2678,89.27,398,0,81,547
2684,89.47,395,0,804,204
2684,89.47,397,0,819,168
2686,89.53,401,0,742,274
2741,91.37,405,0,661,390
2771,92.37,410,0,631,441
2789,92.97,411,0,805,127
2792,93.07,413,0,756,175
2831,94.37,412,0,773,153
2831,94.37,419,0,731,290
2873,95.77,425,0,434,340
2882,96.07,427,0,442,389
2933,97.77,442,0,391,614
2954,98.47,421,0,740,150
2989,99.63,437,0,783,107
3074,102.47,441,0,618,155
3104,103.47,429,0,794,96
3111,103.70,454,0,795,229
3119,103.97,453,0,667,118
3137,104.57,458,0,819,140
3164,105.47,456,0,741,116
3177,105.90,460,0,773,171
3200,106.67,461,0,693,300
3227,107.57,463,0,501,530
3236,107.87,465,0,399,608
3260,108.67,464,0,585,347
3308,110.27,468,0,781,181
3419,113.97,473,0,745,209
3431,114.37,475,0,99,486
3551,118.37,478,0,725,96
3797,126.57,488,0,820,142
3803,126.77,487,0,484,243
3830,127.67,490,0,761,250
