frame,timestamp_s,object_id,lane_id,centroid_x,centroid_y
212,21.20,16,0,276,254
226,22.60,20,0,254,345
254,25.40,23,0,262,183
293,29.30,25,0,234,307
314,31.40,22,0,272,207
345,34.50,24,0,343,129
345,34.50,28,0,168,344
346,34.60,30,0,305,169
360,36.00,39,0,187,285
361,36.10,32,0,263,185
390,39.00,38,0,224,287
405,40.50,42,0,192,281
486,48.60,48,0,217,296
499,49.90,45,0,141,299
543,54.30,53,0,79,343
663,66.30,68,0,208,304
713,71.30,76,0,269,195
752,75.20,81,0,226,230
760,76.00,80,0,181,281
784,78.40,77,0,125,348
851,85.10,86,0,275,197
856,85.60,87,0,370,112
881,88.10,90,0,220,240
930,93.00,92,0,289,167
968,96.80,95,0,224,288
968,96.80,96,0,361,116
1033,103.30,93,0,133,269
1049,104.90,101,0,249,195
1070,107.00,99,0,259,237
1078,107.80,103,0,112,312
1108,110.80,102,0,279,208
1117,111.70,112,0,100,311
1144,114.40,115,0,125,312
1157,115.70,116,0,159,249
1167,116.70,117,0,96,338
1192,119.20,120,0,115,307
1238,123.80,124,0,141,341
1246,124.60,127,0,114,304
1249,124.90,126,0,163,298
1260,126.00,128,0,261,238
1293,129.30,134,0,115,318
1315,131.50,135,0,112,306
1330,133.00,136,0,236,343
